PLAYER,SEASON,TEAM,X,Y,SHOT_MADE,PLAYOFFS,MVP,Champion
Kevin Durant,2007-08,SEA,5.4,31.35,0,0,0,0
Kevin Durant,2007-08,SEA,-1.3,14.65,0,0,0,0
Kevin Durant,2007-08,SEA,14.9,10.35,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,13.6,7.25,0,0,0,0
Kevin Durant,2007-08,SEA,-0.5,29.75,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,24.3,5.45,0,0,0,0
Kevin Durant,2007-08,SEA,20.0,21.55,0,0,0,0
Kevin Durant,2007-08,SEA,-2.1,12.45,0,0,0,0
Kevin Durant,2007-08,SEA,-0.6,13.65,0,0,0,0
Kevin Durant,2007-08,SEA,14.8,27.15,0,0,0,0
Kevin Durant,2007-08,SEA,-17.1,23.65,0,0,0,0
Kevin Durant,2007-08,SEA,-15.1,19.35,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-1.1,12.35,0,0,0,0
Kevin Durant,2007-08,SEA,6.9,19.85,1,0,0,0
Kevin Durant,2007-08,SEA,-22.3,11.35,1,0,0,0
Kevin Durant,2007-08,SEA,10.7,7.05,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-1.5,6.95,1,0,0,0
Kevin Durant,2007-08,SEA,8.0,29.05,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,15.9,19.05,1,0,0,0
Kevin Durant,2007-08,SEA,18.1,24.35,0,0,0,0
Kevin Durant,2007-08,SEA,0.2,19.85,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-9.7,5.55,0,0,0,0
Kevin Durant,2007-08,SEA,-23.3,4.15,1,0,0,0
Kevin Durant,2007-08,SEA,-10.2,29.55,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,10.35,1,0,0,0
Kevin Durant,2007-08,SEA,-18.2,5.55,1,0,0,0
Kevin Durant,2007-08,SEA,0.3,11.85,0,0,0,0
Kevin Durant,2007-08,SEA,-0.1,25.15,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,9.7,20.75,0,0,0,0
Kevin Durant,2007-08,SEA,14.3,7.05,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-13.3,19.85,0,0,0,0
Kevin Durant,2007-08,SEA,-15.3,25.15,0,0,0,0
Kevin Durant,2007-08,SEA,1.5,14.95,0,0,0,0
Kevin Durant,2007-08,SEA,-13.0,10.15,1,0,0,0
Kevin Durant,2007-08,SEA,1.5,30.55,1,0,0,0
Kevin Durant,2007-08,SEA,-14.8,18.45,1,0,0,0
Kevin Durant,2007-08,SEA,0.3,20.75,0,0,0,0
Kevin Durant,2007-08,SEA,-2.0,12.15,0,0,0,0
Kevin Durant,2007-08,SEA,18.6,23.35,1,0,0,0
Kevin Durant,2007-08,SEA,-0.1,16.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-22.3,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,16.1,26.45,0,0,0,0
Kevin Durant,2007-08,SEA,-9.0,24.35,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-19.9,20.55,1,0,0,0
Kevin Durant,2007-08,SEA,-15.6,16.15,0,0,0,0
Kevin Durant,2007-08,SEA,5.9,23.15,0,0,0,0
Kevin Durant,2007-08,SEA,1.1,11.35,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-14.9,18.25,1,0,0,0
Kevin Durant,2007-08,SEA,-8.4,18.95,1,0,0,0
Kevin Durant,2007-08,SEA,-20.4,17.95,0,0,0,0
Kevin Durant,2007-08,SEA,-13.8,26.25,1,0,0,0
Kevin Durant,2007-08,SEA,-10.5,27.95,1,0,0,0
Kevin Durant,2007-08,SEA,-14.9,19.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,15.8,25.95,0,0,0,0
